"کد (ID)","نام ماده اولیه","دسته‌بندی","واحد پیش‌فرض","نسبت‌های تبدیل واحد (مفصل)"
"1","پیاز زرد","سبزیجات و صیفی‌جات","عدد","۱ عدد = 0.75 عدد بزرگ | ۱ عدد = 1.5 عدد کوچک | ۱ عدد = 150 گرم | ۱ عدد = 0.15 کیلوگرم"
"2","پیاز قرمز","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"3","پیاز سفید","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"4","سیر تازه","سبزیجات و صیفی‌جات","حبه","۱ حبه = ۵ گرم | ۰.۲ بوته (پایه عمومی)"
"5","گوجه فرنگی","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"6","گوجه گیلاسی","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"7","سیب زمینی پشندی","سبزیجات و صیفی‌جات","عدد","۱ عدد = 0.75 عدد بزرگ | ۱ عدد = 1.5 عدد کوچک | ۱ عدد = 160 گرم | ۱ عدد = 0.166 کیلوگرم"
"8","سیب زمینی ترش","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"9","سبزی قورمه","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"10","سبزی خوردن","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"11","سبزی کوکو","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"12","سبزی آش","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"13","سبزی پلویی","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"14","سبزی سوپ","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"15","سبزی دلمه","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"16","سبزی شکم‌پر","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"17","بادمجان قلمی","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"18","بادمجان دلمه‌ای","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"19","خیار بوته‌ای","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"20","خیار گلخانه‌ای","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"21","کاهو رسمی","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"22","کاهو پیچ (آیسبرگ)","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"23","کاهو فرانسوی","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"24","هویج","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"25","قارچ دکمه‌ای","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"26","قارچ صدفی","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"27","قارچ بلانچ‌شده","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"28","فلفل دلمه‌ای سبز","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"29","فلفل دلمه‌ای رنگی","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"30","فلفل سبز قلمی (تند)","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"31","فلفل شیرین","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"32","کدو سبز","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"33","کدو حلوایی (تنبل)","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"34","کرفس","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"35","اسفناج تازه","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"36","جعفری تازه","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"37","گشنیز تازه","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"38","شنبلیله تازه","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"39","نعناع تازه","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"40","شوید تازه","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"41","تره تازه","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"42","ریحان بنفش","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"43","ریحان سبز","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"44","مرزه تازه","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"45","ترخون تازه","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"46","شاهی","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"47","تربچه","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
